Logger for Validator: v4######################## Logger for Validator: v4 ######################## ######################## Logger for Validator: v4 ######################## 

######################## Logger for Validator: v4 ######################## 

######################## Logger for Validator: v4 ######################## 

######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-17 20:53:28   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:59:28   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:59:28   		 [ Validator: v4 adding transaction: c1 - 0 ]
[INFO]: 2021-10-17 20:59:28   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:59:28   		 [ Validator: v4 adding transaction: c2 - 0 ]
[INFO]: 2021-10-17 20:59:28   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-17 20:59:28   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-17 20:59:28   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:59:28   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4created Timeout Message:  ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 created TC message ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 adding transaction: c2 - 1 ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 adding transaction: c1 - 1 ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 created QC message ]
[INFO]: 2021-10-17 20:59:30   		 [ Validator: v4 sending Proposal message to other validators for empty new round ]
######################## Logger for Validator: v4 ######################## 

[INFO]: 2021-10-17 20:59:38   		 [ Validator: v4 Client c1 Authentication Successful ]
[INFO]: 2021-10-17 20:59:38   		 [ Validator: v4 adding transaction: c1 - 0 ]
[INFO]: 2021-10-17 20:59:38   		 [ Validator: v4 Client c2 Authentication Successful ]
[INFO]: 2021-10-17 20:59:38   		 [ Validator: v4 adding transaction: c2 - 0 ]
[INFO]: 2021-10-17 20:59:38   		 [ Validator: v4created Votemsg :  ]
[INFO]: 2021-10-17 20:59:38   		 [ Validator: v4 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-17 20:59:38   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:59:38   		 [ Validator: v4 returning from empty round  ]
[INFO]: 2021-10-17 20:59:40   		 [ Validator: v4created Timeout Message:  ]
[INFO]: 2021-10-17 20:59:40   		 [ Validator: v4 created TC message ]
